Law Enforcement Agency,Agency Type,STATE,County Name,Program Type,ICE Signed Date,Location,Jurisdiction Population (2024 US Census ACS
Carbon County Sheriff's Office,County,WYOMING,Carbon County,Warrant Service Officer,"Jun 11, 2025","Rawlins, WYOMING 82301",14250
Laramie County Sheriff’s Office,County,WYOMING,Laramie County,Task Force Model,"Jun 11, 2025","Cheyenne, WYOMING 82001",101783
Marion County Sheriff's Office,County,ALABAMA,Marion County,Task Force Model,"Jun 12, 2025","Hamilton, ALABAMA 35570",29323
Lauderdale County Sheriff's Office,County,ALABAMA,Lauderdale County,Jail Enforcement Model,"Jun 12, 2025","Florence, ALABAMA 35630",97502
Lauderdale County Sheriff's Office,County,ALABAMA,Lauderdale County,Warrant Service Officer,"Jun 12, 2025","Florence, ALABAMA 35630",97502
Saline County Sheriff's Office,County,ARKANSAS,Saline County,Warrant Service Officer,"Jun 12, 2025","Benton, ARKANSAS 72015",131252
Haskell County Sheriff's Office,County,KANSAS,Haskell County,Warrant Service Officer,"Jun 12, 2025","County: Haskell County, KANSAS",3591
Montour County Sheriff's Office,County,PENNSYLVANIA,Montour County,Task Force Model,"Jun 12, 2025","County: Montour County, PENNSYLVANIA",18115
Butler County Sheriff's Office,County,PENNSYLVANIA,Butler County,Task Force Model,"Jun 12, 2025","County: Butler County, PENNSYLVANIA",199341
Union County Sheriff's Office,County,SOUTH CAROLINA,Union County,Task Force Model,"Jun 12, 2025","County: Union County, SOUTH CAROLINA",26678
Union County Sheriff's Office,County,SOUTH CAROLINA,Union County,Warrant Service Officer,"Jun 12, 2025","County: Union County, SOUTH CAROLINA",26678
Chester County Sheriff's Office,County,SOUTH CAROLINA,Chester County,Task Force Model,"Jun 12, 2025","County: Chester County, SOUTH CAROLINA",32323
Dorchester County Sheriff's Office,County,SOUTH CAROLINA,Dorchester County,Warrant Service Officer,"Jun 12, 2025","County: Dorchester County, SOUTH CAROLINA",174663
Anderson County Sheriff's Office,County,SOUTH CAROLINA,Anderson County,Warrant Service Officer,"Jun 12, 2025","County: Anderson County, SOUTH CAROLINA",217183
Morgan County Sheriff's Office,County,TENNESSEE,Morgan County,Jail Enforcement Model,"Jun 12, 2025","County: Morgan County, TENNESSEE",21954
Madison County Sheriff's Office,County,TEXAS,Madison County,Warrant Service Officer,"Jun 12, 2025","Madison County, TEXAS",13877
Newton County Sheriff's Office,County,TEXAS,Newton County,Warrant Service Officer,"Jun 12, 2025","County: Newton County, TEXAS",11908
Brooks County Sheriff's Office,County,TEXAS,Brooks County,Task Force Model,"Jun 12, 2025","County: Brooks County, TEXAS",6740
Richmond County Sheriff's Office,County,VIRGINIA,Richmond County,Task Force Model,"Jun 12, 2025","County: Richmond County, VIRGINIA",9215
Laramie County Sheriff’s Office,County,WYOMING,Laramie County,Warrant Service Officer,"Jun 12, 2025","Cheyenne, WYOMING 82001",101783
Coconut Creek Police Department,Municipality,FLORIDA,#N/A,Task Force Model,"Jun 13, 2025","Coconut Creek, FLORIDA 33063",59721
Lake Wales Police Department,Municipality,FLORIDA,#N/A,Task Force Model,"Jun 13, 2025","Lake Wales, FLORIDA",17798
Mercer County Sheriff's Office,County,NORTH DAKOTA,Mercer County,Task Force Model,"Jun 13, 2025","County: Mercer County, NORTH DAKOTA",8348
Ramsey County Sheriff's Office,County,NORTH DAKOTA,Ramsey County,Task Force Model,"Jun 13, 2025","County: Ramsey County, NORTH DAKOTA",11510
Coward Police Department,Municipality,SOUTH CAROLINA,#N/A,Task Force Model,"Jun 13, 2025","Coward, SOUTH CAROLINA",715
Southside Place Police Department,Municipality,TEXAS,Harris County,Task Force Model,"Jun 13, 2025","Houston, TX 77005",1908
Splendora Police Department,Municipality,TEXAS,#N/A,Task Force Model,"Jun 13, 2025","Splendora, TEXAS",2063
Pittsylvania County Sheriff's Office,County,VIRGINIA,Pittsylvania County,Task Force Model,"Jun 13, 2025","County: Pittsylvania County, VIRGINIA",59410
Las Vegas Metropolitan Police Department,Municipality,NEVADA,#NA,Warrant Service Officer,"Jun 16, 2025","Las Vegas Metropolitan, NEVADA",678922
Holly Hill Police Department,Municipality,SOUTH CAROLINA,#N/A,Task Force Model,"Jun 16, 2025","Holly Hill, SOUTH CAROLINA",1259
Tennessee Department of Corrections,State,TENNESSEE,#N/A,Jail Enforcement Model,"Jun 16, 2025",TENNESSEE,7227750
Franklin County Sheriff's Office,County,KANSAS,Franklin County,Warrant Service Officer,"Jun 17, 2025","County: Franklin County, KANSAS",26273
Bowman County Sheriff's Office,County,NORTH DAKOTA,Bowman County,Warrant Service Officer,"Jun 17, 2025","County: Bowman County, NORTH DAKOTA",2886
Fayette County Sheriff's Office,County,OHIO,Fayette County,Warrant Service Officer,"Jun 17, 2025","County: Fayette County, OHIO",28782
Grainger County Sheriff's Office,County,TENNESSEE,Grainger County,Warrant Service Officer,"Jun 17, 2025","County: Grainger County, TENNESSEE",25073
Lamb County Sheriff's Office,County,TEXAS,Lamb County,Warrant Service Officer,"Jun 17, 2025","County: Lamb County, TEXAS",12687
Level Plains Police Department,Municipality,ALABAMA,#N/A,Task Force Model,"Jun 18, 2025","Level Plains, ALABAMA 36322",1839
Lawrence County Sheriff's Office,County,ALABAMA,Lawrence County,Task Force Model,"Jun 18, 2025","Moulton, ALABAMA 35650",33567
Eatonville Police Department,Municipality,FLORIDA,#N/A,Task Force Model,"Jun 18, 2025","Eatonville, FLORIDA 32751",2356
Hollywood Police Department,Municipality,FLORIDA,#N/A,Task Force Model,"Jun 18, 2025","Hollywood, FLORIDA",159073
Lake Mary Police Department,Municipality,FLORIDA,#N/A,Task Force Model,"Jun 18, 2025","Lake Mary, FLORIDA",16989
Pensacola Police Department,Municipality,FLORIDA,#NA,Task Force Model,"Jun 18, 2025","Pensacola, FLORIDA",53898
Mille Lacs County Sheriff's Office,County,MINNESOTA,Mille Lacs County,Task Force Model,"Jun 18, 2025","County: Mille Lacs County, MINNESOTA",27577
Manheim Borough Police Department,Municipality,PENNSYLVANIA,#N/A,Task Force Model,"Jun 18, 2025","Manheim Borough, PENNSYLVANIA",5011
Washington County Sheriff's Office,County,PENNSYLVANIA,Washington County,Task Force Model,"Jun 18, 2025","County: Washington County, PENNSYLVANIA",210434
Angelina County Sheriff's Office,County,TEXAS,Angelina County,Warrant Service Officer,"Jun 18, 2025","County: Angelina County, TEXAS",88094
Anderson County Sheriff's Office,County,TEXAS,Anderson County,Warrant Service Officer,"Jun 18, 2025","County: Anderson County, TEXAS",59512
Lake Alfred Police Department,Municipality,FLORIDA,#N/A,Task Force Model,"Jun 24, 2025","Lake Alfred, FLORIDA",8632
Titusville Police Department,Municipality,FLORIDA,#N/A,Task Force Model,"Jun 24, 2025","Titusville, FLORIDA",49883
Putnam County Sheriff's Office,County,TENNESSEE,Putnam County,Task Force Model,"Jun 24, 2025","County: Putnam County, TENNESSEE",84894
Cherokee County Sheriff's Office,County,ALABAMA,Cherokee County,Warrant Service Officer,"Jun 25, 2025","Centre, ALABAMA 35960",26138
Jasper County Sheriff's Office,County,GEORGIA,Jasper County,Warrant Service Officer,"Jun 25, 2025","Monticello, GEORGIA 31064",17219
Jewell County Sheriff's Office,County,KANSAS,Jewell County,Warrant Service Officer,"Jun 25, 2025","County: Jewell County, KANSAS",2899
McCormick County Sheriff's Office,County,SOUTH CAROLINA,McCormick County,Warrant Service Officer,"Jun 25, 2025","County: McCormick County, SOUTH CAROLINA",9983
Newberry County Sheriff's Office,County,SOUTH CAROLINA,Newberry County,Warrant Service Officer,"Jun 25, 2025","County: Newberry County, SOUTH CAROLINA",39203
Cumberland County Sheriff's Office,County,TENNESSEE,Cumberland County,Warrant Service Officer,"Jun 25, 2025","County: Cumberland County, TENNESSEE",65618
Scurry County Sheriff's Office,County,TEXAS,Scurry County,Warrant Service Officer,"Jun 25, 2025","County: Scurry County, TEXAS",16211
Yoakum County Sheriff's Office,County,TEXAS,Yoakum County,Warrant Service Officer,"Jun 25, 2025","County: Yoakum County, TEXAS",7581
Hardeman County Sheriff's Office,County,TEXAS,Hardeman County,Warrant Service Officer,"Jun 25, 2025","County: Hardeman County, TEXAS",3417
Dickens County Sheriff's Office,County,TEXAS,Dickens County,Warrant Service Officer,"Jun 25, 2025","County: Dickens County, TEXAS",1725
Tooele County Sheriff's Office,County,UTAH,Tooele County,Warrant Service Officer,"Jun 25, 2025","County: Tooele County, UTAH",84488
Lawrence County Sheriff's Office,County,ALABAMA,Lawrence County,Warrant Service Officer,"Jun 30, 2025","Moulton, ALABAMA 35650",33567
Hampton Police Department,Municipality,ARKANSAS,#NA,Task Force Model,"Jun 30, 2025","Hampton, ARKANSAS 71744",1157
Harrison County Sheriff's Office,County,MISSISSIPPI,Harrison County,Jail Enforcement Model,"Jun 30, 2025","County: Harrison County, MISSISSIPPI",213730
Jefferson County Sheriff's Office,County,TEXAS,Jefferson County,Warrant Service Officer,"Jun 30, 2025","County: Jefferson County, TEXAS",253948
Jefferson County Sheriff's Office,County,TEXAS,Jefferson County,Task Force Model,"Jun 30, 2025","County: Jefferson County, TEXAS",253948
Childress County Sheriff's Office,County,TEXAS,Childress County,Warrant Service Officer,"Jun 30, 2025","County: Childress County, TEXAS",6679
Knox County Sheriff's Office,County,TEXAS,Knox County,Warrant Service Officer,"Jun 30, 2025","County: Knox County, TEXAS",3255
Hopewell County Sheriff's Office,County,VIRGINIA,Hopewell County,Task Force Model,"Jun 30, 2025","County: Hopewell County, VIRGINIA",22970
Colbert County Sheriff's Office,County,ALABAMA,Colbert County,Task Force Model,"Jul 2, 2025","Tuscumbia, ALABAMA 35674",58785
Alachua Police Department,Municipality,FLORIDA,Alachua County,Task Force Model,"Jul 2, 2025","Alachua, FLORIDA 32615",10856
Apopka Police Department,Municipality,FLORIDA,#N/A,Task Force Model,"Jul 2, 2025","Apopka, FLORIDA 32703",62777
Atlantic Beach Police Department,Municipality,FLORIDA,#N/A,Task Force Model,"Jul 2, 2025","Atlantic Beach, FLORIDA 32233",13279
Atlantis Police Department,Municipality,FLORIDA,#N/A,Task Force Model,"Jul 2, 2025","Atlantis, FLORIDA 33462",2160
Cape Coral Police Department,Municipality,FLORIDA,#N/A,Task Force Model,"Jul 2, 2025","Cape Coral, FLORIDA 33990",233025
Casselberry Police Department,Municipality,FLORIDA,#N/A,Task Force Model,"Jul 2, 2025","Casselberry, FLORIDA 32707",31650
Cocoa Police Department,Municipality,FLORIDA,#N/A,Task Force Model,"Jul 2, 2025","Cocoa, FLORIDA 32922",19909
Edgewater Police Department,Municipality,FLORIDA,#N/A,Task Force Model,"Jul 2, 2025","Edgewater, FLORIDA 32132",24334
Florida International University Police Department,Municipality,FLORIDA,#N/A,Task Force Model,"Jul 2, 2025","Miami, FLORIDA 33199",null
Haines City Police Department,Municipality,FLORIDA,#N/A,Task Force Model,"Jul 2, 2025","Haines City, FLORIDA 33844",42073
Hialeah Police Department,Municipality,FLORIDA,#N/A,Task Force Model,"Jul 2, 2025","Hialeah, FLORIDA 33013",235388
Neptune Beach Police Department,Municipality,FLORIDA,#NA,Task Force Model,"Jul 2, 2025","Neptune Beach, FLORIDA",7032
Winter Haven Police Department,Municipality,FLORIDA,#NA,Task Force Model,"Jul 2, 2025","Winter Haven, FLORIDA",59975
Lee County Port Authority Police,County,FLORIDA,Lee County,Task Force Model,"Jul 2, 2025","Fort Myers, FLORIDA 33902",860959
Shawnee County Sheriff's Office,County,KANSAS,Shawnee County,Task Force Model,"Jul 2, 2025","County: Shawnee County, KANSAS",177942
Scott County Sheriff's Office,County,KENTUCKY,Scott County,Task Force Model,"Jul 2, 2025","County: Scott County, KENTUCKY",61700
Ouachita Parish Sheriff's Office,County,LOUISIANA,Ouachita Parish,Warrant Service Officer,"Jul 2, 2025","County: Ouachita Parish, LOUISIANA",157874
Harrison County Sheriff's Office,County,MISSISSIPPI,Harrison County,Warrant Service Officer,"Jul 2, 2025","County: Harrison County, MISSISSIPPI",213730
Carroll Police Department,Municipality,NEW HAMPSHIRE,#N/A,Task Force Model,"Jul 2, 2025","Carroll, NEW HAMPSHIRE",null
Camden Police Department,Municipality,NEW YORK,#N/A,Task Force Model,"Jul 2, 2025","Camden, NEW YORK",2149
Madison County Sheriff's Office,County,NEW YORK,Madison County,Warrant Service Officer,"Jul 2, 2025","Madison County, NEW YORK",67072
New Sewickley Township Police Department,Municipality,PENNSYLVANIA,#N/A,Task Force Model,"Jul 2, 2025","New Sewickley Township, PENNSYLVANIA",null
Georgetown County Sheriff's Office,County,SOUTH CAROLINA,Georgetown County,Warrant Service Officer,"Jul 2, 2025","County: Georgetown County, SOUTH CAROLINA",66035
Dyer County Sheriff's Office,County,TENNESSEE,Dyer County,Warrant Service Officer,"Jul 2, 2025","County: Dyer County, TENNESSEE",36403
Coffee County Sheriff's Office,County,TENNESSEE,Coffee County,Warrant Service Officer,"Jul 2, 2025","County: Coffee County, TENNESSEE",61285
Madison County Sheriff's Office,County,TENNESSEE,Madison County,Warrant Service Officer,"Jul 2, 2025","Madison County, TENNESSEE",100409
Lynn County Sheriff's Office,County,TEXAS,Lynn County,Warrant Service Officer,"Jul 2, 2025","County: Lynn County, TEXAS",5952
Terrell County Sheriff's Office,County,TEXAS,Terrell County,Task Force Model,"Jul 2, 2025","County: Terrell County, TEXAS",718
Tooele County Sheriff's Office,County,UTAH,Tooele County,Task Force Model,"Jul 2, 2025","County: Tooele County, UTAH",84488
Weber County Sheriff's Office,County,UTAH,Weber County,Task Force Model,"Jul 2, 2025","County: Weber County, UTAH",276118
Little River County Sheriff's Office,County,ARKANSAS,Little River County,Warrant Service Officer,"Jul 7, 2025","Ashdown, ARKANSAS 71822",11626
Little River County Sheriff's Office,County,ARKANSAS,Little River County,Jail Enforcement Model,"Jul 7, 2025","Ashdown, ARKANSAS 71822",11626
Arkansas State Police Department,State,ARKANSAS,#NA,Task Force Model,"Jul 7, 2025",ARKANSAS,3088354
Indian Creek Village Department of Public Safety,Municipality,FLORIDA,#N/A,Task Force Model,"Jul 7, 2025","Indian Creek Village Department of Public Safety, FLORIDA",89
Quincy Police Department,Municipality,FLORIDA,#NA,Task Force Model,"Jul 7, 2025","Quincy, FLORIDA",8119
Sebring Police Department,Municipality,FLORIDA,#N/A,Task Force Model,"Jul 7, 2025","Sebring, FLORIDA",11795
University of North Florida Police Department,Municipality,FLORIDA,#N/A,Task Force Model,"Jul 7, 2025","University of North Florida, FLORIDA",null
West Palm Beach Police Department,Municipality,FLORIDA,#NA,Task Force Model,"Jul 7, 2025","West Palm Beach, FLORIDA",127744
Monroe Police Department,Municipality,GEORGIA,#NA,Task Force Model,"Jul 7, 2025","Monroe, GEORGIA",16270
Rush County Sheriff's Office,County,KANSAS,Rush County,Warrant Service Officer,"Jul 7, 2025","County: Rush County, KANSAS",2810
Ellis County Sheriff's Office,County,KANSAS,Ellis County,Warrant Service Officer,"Jul 7, 2025","County: Ellis County, KANSAS",29007
Stone County Sheriff's Office,County,MISSISSIPPI,Stone County,Task Force Model,"Jul 7, 2025","County: Stone County, MISSISSIPPI",19569
Stone County Sheriff's Office,County,MISSISSIPPI,Stone County,Warrant Service Officer,"Jul 7, 2025","County: Stone County, MISSISSIPPI",19569
Stone County Sheriff's Office,County,MISSISSIPPI,Stone County,Jail Enforcement Model,"Jul 7, 2025","County: Stone County, MISSISSIPPI",19569
Christian County Sheriff's Office,County,MISSOURI,Christian County,Task Force Model,"Jul 7, 2025","Ozark, MO 65721",96045
Luzerne County District Attorney's Office,County,PENNSYLVANIA,Luzerne County,Task Force Model,"Jul 7, 2025","County: Luzerne County, PENNSYLVANIA",331379
Grundy County Sheriff's Office,County,TENNESSEE,Grundy County,Warrant Service Officer,"Jul 7, 2025","Grundy County, TENNESSEE",14148
Franklin County Sheriff's Office,County,TENNESSEE,Franklin County,Jail Enforcement Model,"Jul 7, 2025","County: Franklin County, TENNESSEE",45137
Robertson County Sheriff's Office,County,TENNESSEE,Robertson County,Warrant Service Officer,"Jul 7, 2025","County: Robertson County, TENNESSEE",78459
Rockwall County Sheriff's Office,County,TEXAS,Rockwall County,Task Force Model,"Jul 7, 2025","County: Rockwall County, TEXAS",137044
Victoria County Sheriff’s Office,County,TEXAS,Victoria County,Task Force Model,"Jul 7, 2025","County: Victoria County, TEXAS",91949
Terry County Sheriff's Office,County,TEXAS,Terry County,Warrant Service Officer,"Jul 7, 2025","County: Terry County, TEXAS",11602
Garza County Sheriff's Office,County,TEXAS,Garza County,Warrant Service Officer,"Jul 7, 2025","County: Garza County, TEXAS",4645
Rockwall County Sheriff's Office,County,TEXAS,Rockwall County,Warrant Service Officer,"Jul 8, 2025","County: Rockwall County, TEXAS",137044
Texarkana Police Department,Municipality,ARKANSAS,Bowie County,Task Force Model,"Jul 11, 2025","Texarkana, ARKANSAS 71854",28897
Lafayette County Sheriff's Office,County,ARKANSAS,Lafayette County,Warrant Service Officer,"Jul 11, 2025","Lewisville, ARKANSAS 71845",6015
Miller County Sheriff's Office,County,ARKANSAS,Miller County,Task Force Model,"Jul 11, 2025","Texarkana, ARKANSAS 71854",41958
Bonneville County Sheriff's Office,County,IDAHO,Bonneville County,Warrant Service Officer,"Jul 11, 2025","County: Bonneville County, IDAHO",133644
Arnaudville Police Department,Municipality,LOUISIANA,Saint Landry County,Task Force Model,"Jul 11, 2025","Arnaudville, LOUISIANA",999
Beaver County Sheriff's Office,County,UTAH,Beaver County,Warrant Service Officer,"Jul 11, 2025","County: Beaver County, UTAH",7424
Baxter County Sheriff's Office,County,ARKANSAS,Baxter County,Warrant Service Officer,"Jul 15, 2025","Mountain Home, ARKANSAS 72653",43007
